1571995996,3,2,3,"C2,CA,CK,CJ;S3,S8,S2,S4;S6,S9,S7,S5;SA,S10,SJ,SK;C4,C10,C3,HA;D8,D3,D2,D4;C5,SQ,C7,H7;C6,HK,C9,H6;C8,HQ,CQ,H4;H10,D7,D6,D5;H9,DJ,D9,DK;H5,DQ,D10,DA;H2,H8,HJ,H3"
1571995996,3,13,3,"C2,CK,C7,CJ;S2,S3,S6,SQ;C8,C10,C4,C3;D7,D5,D4,D2;DJ,D6,DK,D3;DQ,SA,DA,D8;S5,S4,SJ,HA;S7,S8,SK,H3;H2,H4,H7,D10;H5,H10,H8,D9;H6,S9,HK,C9;CA,S10,HJ,C6;CQ,HQ,H9,C5"
1571995996,3,2,3,"CA,CQ,C10,C2;S2,S3,S9,S7;S5,S4,SJ,SA;CJ,C3,C4,C5;S10,S6,SK,HA;SQ,C8,C6,C7;D7,D5,D2,D3;DQ,D8,D4,D6;H4,H3,HJ,H2;HK,HQ,C9,CK;H7,D10,DJ,D9;H6,H9,DK,H10;H5,S8,DA,H8"
1571995996,3,5,3,"CK,C2,CQ,C10;C5,CJ,C3,HK;SQ,S2,SJ,S3;D7,D2,D3,D5;D9,D8,D4,D10;DK,HA,D6,DJ;DA,H10,DQ,H8;SA,S4,SK,S6;C6,CA,C4,H7;HJ,S5,HQ,S8;C9,S7,H9,S9;C8,H3,H6,S10;C7,H2,H5,H4"
1571995996,3,3,3,"CA,C2,CK,CJ;S2,S3,S8,S7;S4,S5,SJ,S9;C6,C4,C3,C5;S6,HK,SQ,S10;C7,C9,C10,HJ;D2,D8,D3,D4;D5,DA,DJ,D6;C8,CQ,SK,H10;H5,H3,HA,H2;D9,HQ,DK,D7;SA,H4,H6,H7;DQ,H8,H9,D10"
1571995996,3,17,3,"C2,C8,CK,CA;S2,S3,S4,S10;S5,S8,S9,SJ;DJ,D3,D6,D2;S6,SK,SQ,SA;D7,D5,DK,D4;D8,HK,DA,D9;C7,C3,C6,HA;D10,H8,HQ,DQ;H2,H4,HJ,H3;CQ,C4,C9,H10;S7,H6,CJ,H9;H5,C5,C10,H7"
1571995996,3,24,3,"CQ,C2,C9,CK;S3,S2,S7,S4;C7,CA,C4,C3;S8,SJ,SK,S5;HA,SA,C5,C8;S10,HJ,HQ,S6;D3,D2,D5,D6;HK,H8,H6,S9;H10,DA,C6,C10;H9,DQ,H4,CJ;DJ,D4,D7,DK;H2,D10,H3,H7;H5,D8,D9,SQ"
1571995996,3,17,3,"SA,C2,CA,CQ;S6,S8,S2,S3;SQ,C4,C3,C5;D4,DK,D2,D3;D5,DA,D6,D10;H9,C10,C7,C6;H3,CK,SK,C8;DJ,H4,H2,H6;D9,HA,D7,DQ;S7,HK,HQ,S4;S9,HJ,H7,S5;S10,H10,H5,CJ;SJ,H8,D8,C9"
1571995996,3,12,3,"C9,CA,C2,CK;S2,S5,S4,S3;S8,S6,S10,S7;S9,HJ,SJ,SA;C3,C7,CJ,C4;D2,D5,D3,D4;C6,C10,SQ,C5;D6,D9,DK,D7;H5,H3,H2,HK;C8,H10,HA,CQ;D10,DQ,H7,D8;SK,H8,H4,HQ;DJ,H9,H6,DA"
1571995996,3,21,3,"CQ,CK,C10,C2;S4,S6,S3,S2;S10,SJ,S7,S5;C8,C4,C3,C6;D4,DK,D2,D5;SQ,C5,HQ,C7;H10,C9,HJ,CJ;H9,SA,DJ,CA;D6,SK,D3,D10;H8,HA,D7,DQ;H5,HK,D8,DA;H4,H7,S9,S8;H3,H2,D9,H6"
