1571997105,3,5,2,"C10,C2,CK,CA;S9,S2,H10,S6;S10,S3,H9,S7;C5,CQ,C4,C3;SQ,S4,H8,SJ;D3,D2,D9,D5;D7,D4,D10,DA;D8,D6,DQ,DJ;HK,C6,C8,C7;H7,SK,C9,SA;H5,HA,CJ,HQ;H2,S8,H3,H4;DK,S5,H6,HJ"
1571997105,3,0,2,"CQ,CA,C2,CK;S4,S3,S5,S2;SQ,S8,S7,S6;C3,C4,CJ,C5;D6,D4,D2,HK;C6,C9,HA,C7;D7,D5,D3,H10;C10,SA,HQ,C8;D8,D9,D10,H9;DQ,DJ,DK,H4;H8,SK,DA,H3;H2,H6,H5,S10;H7,SJ,HJ,S9"
1571997105,3,5,2,"CJ,C2,CA,CQ;S6,S7,S3,S2;S9,S10,HJ,S4;C6,C7,C3,C5;C9,C8,C4,SK;SJ,SQ,H8,S5;D7,DJ,D2,D5;HQ,SA,H6,S8;H3,C10,CK,H10;D8,HA,D3,DQ;DA,H2,D9,H4;DK,H5,D6,H7;D10,HK,D4,H9"
1571997105,3,17,2,"CA,C9,C10,C2;S5,S3,S4,S2;S9,S6,S7,HQ;S10,SK,S8,HJ;HK,D6,D3,D2;H9,D7,D5,D4;H2,D9,D8,D10;C3,SA,C4,C6;C5,HA,SQ,C7;CK,DQ,H10,DJ;CQ,DK,H8,H6;CJ,DA,H7,H5;C8,H3,SJ,H4"
1571997105,3,16,2,"CA,C2,CQ,CK;S6,S2,S3,SJ;C10,C5,C4,C3;S7,SQ,S4,SA;D3,D9,D4,D2;D5,D10,D6,D7;S8,SK,S5,H10;C8,C7,C6,H9;D8,HA,DJ,DK;HQ,HK,DQ,DA;H5,H4,H8,H2;S10,C9,CJ,H6;S9,H7,HJ,H3"
1571997105,3,7,2,"C2,CQ,CK,C9;HK,S2,S7,S3;C6,C7,C4,C3;H10,S4,HJ,S6;H6,S5,H9,S8;H5,S9,H8,S10;D2,D6,D7,D3;C10,CJ,C5,SQ;D4,DK,D9,D10;DQ,SJ,H7,SK;D5,SA,DA,DJ;CA,HA,C8,HQ;D8,H2,H3,H4"
1571997105,3,0,2,"CK,CJ,C2,C9;S3,S7,S5,S2;S6,SJ,HA,S4;C4,C3,CA,C6;SQ,C5,CQ,C8;D9,D2,D3,DA;DJ,D6,D4,DK;S9,SK,H9,S8;SA,C7,H8,HK;H5,C10,D10,H10;H2,H7,D8,H3;DQ,HJ,D7,H4;S10,HQ,D5,H6"
1571997105,3,0,2,"CA,CK,C10,C2;S3,S4,S2,S7;SQ,S5,S6,S8;C5,C4,C3,C7;D4,D8,D3,D2;D6,DQ,D5,D9;SK,S10,SJ,S9;D7,SA,D10,DA;H5,H2,H6,H4;DJ,HJ,DK,HK;CJ,C8,C6,HQ;CQ,C9,HA,H9;H7,H3,H10,H8"
1571997105,3,4,2,"C10,CA,C2,CK;S6,S2,S9,S7;C7,C6,C3,C9;SJ,S3,SQ,S8;D6,D2,D4,D3;D7,DA,D5,D8;D9,DQ,D10,SA;HJ,S4,HA,S10;H7,S5,H10,SK;H5,H2,H8,H3;H6,CJ,C4,HK;DK,CQ,C5,H9;DJ,HQ,C8,H4"
1571997105,3,0,2,"CQ,C2,C6,CA;S2,S6,S7,S3;S5,S8,S10,S4;C4,C3,C5,CK;C7,C8,HA,C9;C10,H8,HQ,CJ;D3,D4,D9,D2;D5,D7,D10,D8;D6,H7,DJ,DQ;SK,S9,HJ,SA;HK,SJ,H9,SQ;H3,H2,H4,H5;DK,H6,DA,H10"
