1571995980,3,3,2,"CK,CA,C2,CQ;S6,S2,S3,S4;S9,S8,S5,S10;C4,SQ,C5,C3;D3,D5,D6,D2;D4,D9,D8,D7;D10,DQ,HQ,HA;DJ,DA,H6,HJ;SA,SK,S7,H9;DK,HK,CJ,H5;C8,H10,C6,C9;H8,H7,C7,C10;H4,H3,SJ,H2"
1571995980,3,0,2,"CQ,CA,C2,CK;S3,S6,S4,S2;S5,S7,S9,HJ;C7,C8,C6,C3;S8,S10,SK,H10;C10,SA,C9,C4;SJ,HQ,HA,H4;D2,D4,H9,D3;D7,D9,H7,D5;DJ,D10,H6,D6;H8,DA,H3,H2;HK,DK,H5,D8;SQ,DQ,CJ,C5"
1571995980,3,1,2,"CA,C10,C2,CK;S3,S8,S2,S4;C4,C6,C5,C3;D5,D3,D2,D4;S5,SQ,S10,S7;HQ,D7,D6,DK;S6,H8,SA,S9;HJ,D9,D8,SK;H10,D10,DA,HK;H5,H3,H2,CJ;C8,H4,HA,C7;CQ,DQ,H9,C9;H6,DJ,H7,SJ"
1571995980,3,17,2,"CK,CQ,C8,C2;S3,S4,S2,SJ;C6,C4,SK,C3;S7,S10,S5,HJ;C7,C9,HA,C5;HK,C10,HQ,CJ;H10,SQ,H8,CA;DA,D3,D2,D4;DK,D9,D5,D6;S8,SA,S6,H9;H7,DJ,D8,D7;H6,DQ,D10,H4;H5,H2,S9,H3"
1571995980,3,6,2,"CA,C2,CQ,CJ;S4,S2,S3,S5;S9,S10,S6,S7;C3,C7,C10,C5;SJ,H8,S8,HA;C4,C9,SK,C6;D6,D2,DA,D3;SQ,D4,DQ,D9;H5,H7,H2,H4;SA,D5,HQ,DJ;H10,D7,HJ,DK;CK,D10,H6,C8;H9,D8,H3,HK"
1571995980,3,9,2,"CJ,CA,C2,CK;C9,C3,C5,C8;S7,HQ,S2,S4;S8,HJ,S3,S5;S9,H9,SA,S6;HA,C4,CQ,SQ;D5,D2,D4,D3;D6,D8,DJ,DQ;HK,D10,H5,S10;H8,D9,H3,SJ;H7,C10,H2,SK;H4,C7,DA,H6;D7,C6,DK,H10"
1571995980,3,5,2,"CA,C2,CK,CJ;S3,S4,S2,S8;S6,S5,S9,SJ;C10,SQ,C4,C3;D3,D2,SA,D6;SK,HA,C6,C5;H8,HQ,C7,C8;D4,D7,HK,D10;D5,DK,H9,DQ;S10,S7,H4,H10;D8,HJ,H3,DA;DJ,H5,CQ,H2;D9,H7,C9,H6"
1571995980,3,1,2,"CK,C2,C5,CA;S2,S4,S10,S3;C8,CJ,C4,C3;S5,S7,HA,S8;S6,SQ,HK,S9;C9,CQ,HQ,C6;D5,D2,D3,DJ;D6,D10,D4,DK;SA,SK,HJ,SJ;D9,DA,D7,H8;H5,H4,H10,H2;H6,H9,D8,H3;C10,H7,DQ,C7"
1571995980,3,0,2,"C2,CA,CQ,C8;S2,S6,S8,S5;S3,SJ,S9,S7;C3,C10,C5,C4;C6,CJ,SQ,HA;C7,CK,H9,HK;D8,D4,D6,D2;C9,SA,H8,HJ;D9,D5,DQ,D3;D10,D7,DA,DJ;S4,SK,S10,H10;HQ,H4,H2,H3;DK,H6,H5,H7"
1571995980,3,17,2,"CA,C2,CK,C9;S3,S6,S2,S4;SK,S7,S8,S5;C3,CJ,C6,C5;HK,SJ,S9,SQ;D3,D8,D2,D4;C4,C10,SA,H9;HJ,D10,DQ,D5;H10,DJ,DA,D6;H4,HQ,S10,H8;CQ,H2,H3,H6;C8,DK,HA,D7;C7,H7,H5,D9"
1571995980,3,20,2,"C2,C9,CQ,CA;S4,S2,SK,S3;C7,C3,C4,CK;S7,S6,HK,S5;S8,S9,H10,SQ;SA,C6,C5,C8;H7,HQ,H9,C10;H5,HJ,H8,CJ;DA,D2,D3,D4;D5,D7,D6,D8;D9,DQ,H6,DJ;H2,S10,H4,HA;D10,SJ,H3,DK"
