1571999021,2,0,1,"CQ,CK,CA,C2;C5,HK,C7,C3;SK,H7,C8,C4;HA,H5,C9,C6;H8,H4,C10,SQ;H3,H2,CJ,SA;D5,D2,D3,DK;D6,D4,D10,D8;D9,D7,DJ,HQ;DQ,S9,DA,H10;S6,S8,H6,SJ;S5,S7,H9,S10;S3,S4,HJ,S2"
1571999021,2,3,1,"CA,C2,CQ,C10;S10,S7,S3,S2;C5,CK,C3,C4;SA,S9,S5,S4;C8,C9,C6,HA;D4,D6,DA,D2;HK,H10,S6,S8;D5,D9,DJ,D3;HQ,H9,SJ,HJ;CJ,H8,C7,H2;D10,DK,SQ,D7;H4,H6,H3,DQ;H5,H7,SK,D8"
1571999021,2,1,1,"CJ,C8,CA,C2;S5,S2,S4,S6;C5,C6,C4,C3;SQ,S3,SJ,HA;C7,HK,CK,C9;D2,D3,D5,DA;DJ,D4,D6,DK;SA,HJ,H10,C10;SK,D7,H7,CQ;H3,S10,DQ,H2;H4,S9,D10,H6;H5,S8,D9,H9;H8,S7,D8,HQ"
1571999021,2,7,1,"CA,C2,CK,CJ;S8,S7,S4,S2;S9,SQ,S5,S3;HK,D7,D3,D2;S10,SK,S6,HQ;C5,C6,C4,C3;H9,C8,C7,H4;H8,C9,C10,DK;H7,HA,D4,D5;H6,HJ,D9,D6;H5,H10,D10,D8;H3,H2,DA,DJ;SJ,CQ,SA,DQ"
1571999021,2,0,1,"CJ,CQ,CA,C2;S5,S3,S10,S2;C4,C3,C7,C5;C9,C8,CK,C6;D2,D3,D4,D9;S6,S4,SA,S9;D6,D7,D5,SQ;D8,DK,D10,HJ;S8,S7,HA,SJ;HK,SK,H4,C10;H2,H7,H3,H5;H9,H8,DQ,H6;DA,HQ,DJ,H10"
1571999021,2,0,1,"C7,C2,CK,CQ;S5,S3,S2,SJ;C4,C8,C5,C3;S6,S8,S4,SA;SQ,CJ,C6,C10;SK,CA,C9,HA;D3,D2,D5,D6;D7,D4,DJ,D8;S9,H9,S7,HK;D10,D9,HQ,HJ;DK,DQ,H10,H8;DA,H4,H7,H5;H6,H2,S10,H3"
1571999021,2,18,1,"C5,C2,CQ,CK;S5,S10,S2,S4;C4,C7,CJ,C3;S6,HA,S3,S7;H6,HQ,S9,S8;H5,C8,C9,C6;D2,D6,DJ,D10;D3,D7,DK,DA;DQ,H10,SK,SJ;D9,H3,SA,SQ;D8,H2,H4,H7;D5,CA,H8,HJ;D4,C10,H9,HK"
1571999021,2,0,1,"C10,CJ,C2,CQ;H7,S2,S6,S5;H5,S3,SJ,S8;C8,C4,C3,C6;D2,SK,D7,D6;H4,C5,C9,SQ;D3,HA,DQ,D10;H3,C7,CK,SA;DK,H10,CA,HK;D9,H2,H8,H6;D8,S10,H9,DA;D5,S7,HJ,DJ;D4,S4,HQ,S9"
1571999021,2,0,1,"C2,C7,CA,C10;S4,S8,S3,S2;S6,S9,S5,S10;CK,C5,C4,C3;CJ,SQ,C6,SA;D4,D2,D3,D5;D9,D6,D10,D7;DJ,D8,DQ,DA;HA,SK,H8,DK;H4,H3,CQ,H2;H5,HJ,C9,H7;HK,SJ,S7,H10;H6,HQ,C8,H9"
1571999021,2,13,1,"CA,C7,CQ,C2;S7,S2,S3,S4;S8,S5,S6,S9;SQ,SJ,SK,S10;C5,C3,C10,C4;D4,D5,D3,D2;C9,C6,HK,C8;D8,D6,D10,D7;D9,DJ,DQ,DK;SA,H8,HQ,CJ;HA,H6,H10,CK;H2,H3,H4,H9;H7,DA,H5,HJ"
1571999021,2,10,1,"CK,C10,C2,CQ;SJ,S3,S2,S4;C7,C4,C3,C6;D5,D3,D2,D7;SQ,S7,S8,S5;D9,SA,D4,D10;SK,H9,D6,DJ;HA,H8,D8,DQ;HQ,S9,S10,S6;HJ,C5,CA,C8;H5,H6,DK,HK;H4,H3,DA,H7;H2,C9,H10,CJ"
1571999021,2,4,1,"C7,CQ,CK,C2;S3,S9,S4,S2;SA,C5,C3,C6;S8,SQ,S6,S5;H6,C8,C4,CA;D2,D4,D8,D10;SJ,HK,SK,S7;D3,D5,DK,HJ;H2,C9,C10,H10;DA,HQ,H3,H4;DJ,CJ,HA,H9;D7,D6,H7,H8;D9,DQ,H5,S10"
1571999021,2,26,1,"C9,C2,CQ,CA;S3,S5,SJ,S2;C7,C3,C5,C6;S4,S8,SK,S7;SA,C4,C8,C10;S6,H10,HA,S9;HK,H9,HQ,CJ;HJ,H7,H8,CK;D3,D7,D2,D4;D6,D10,D5,D8;D9,DK,DJ,DA;S10,H3,H6,SQ;H4,H2,DQ,H5"
1571999021,2,7,1,"C2,C9,CQ,CA;S3,S2,S10,S5;S4,S6,SJ,S7;C7,C3,C5,C4;C8,SQ,C6,C10;CK,H10,HK,CJ;D3,D4,D6,D2;D7,D5,DQ,DJ;D10,D8,DA,SA;H2,H3,H7,H5;H4,DK,H8,H6;HA,D9,H9,HJ;SK,S8,HQ,S9"
1571999021,2,4,1,"C5,C2,CK,C10;S8,S3,S4,S2;C3,C4,C6,C7;SK,S5,S6,S7;D3,D9,D2,D5;HA,S10,S9,SJ;D4,HQ,D10,DQ;D6,H8,DK,DA;HK,H7,H9,SA;H5,H3,H6,SQ;DJ,CA,H4,H2;D8,C8,C9,HJ;D7,CJ,CQ,H10"
