1571996520,2,19,2,"CJ,CA,CQ,C2;S2,S7,S4,S6;S3,S8,S5,S9;C3,SK,C4,C7;C6,HA,C5,CK;D2,D6,D3,D10;D4,D7,DA,DJ;HK,H10,C8,SQ;H9,H6,C9,SA;D8,H5,C10,HQ;D5,H2,H4,H7;SJ,D9,HJ,DQ;S10,H3,H8,DK"
1571996520,2,4,2,"C8,CQ,CA,C2;S3,S2,S5,S4;SA,S8,S7,S6;C3,CJ,C7,C4;D2,D5,D3,D4;D6,D8,SQ,D7;D9,D10,HA,DQ;HK,HQ,S9,S10;HJ,H9,H8,SJ;H10,H5,H7,SK;C6,H3,CK,C5;H2,DA,H4,C10;DK,DJ,H6,C9"
1571996520,2,0,2,"CA,C2,SA,C9;S4,HA,S2,S6;S9,HK,S3,S8;C7,C4,HQ,C3;CK,C5,H7,C6;D6,D9,D3,D2;SQ,C8,H6,SK;HJ,C10,DK,H8;H5,CJ,DJ,H3;H4,CQ,D5,DA;DQ,H2,SJ,D8;D10,H9,S7,D4;D7,H10,S5,S10"
1571996520,2,0,2,"C9,C2,CK,CQ;S2,S4,S3,S5;S7,S6,HA,S9;S8,S10,HK,SJ;C6,C4,C3,C7;SQ,C8,C5,CJ;D10,D3,D5,D2;D6,D9,HQ,D4;H9,CA,C10,SA;D8,DJ,H10,D7;H7,DQ,H5,DK;H6,H8,H3,SK;H4,DA,H2,HJ"
1571996520,2,0,2,"CA,C4,CQ,C2;S4,S3,S2,S6;S5,SQ,HK,S7;D4,D2,D5,D3;C9,SA,C3,CK;D8,D6,H7,DK;S8,HA,H2,S9;HJ,H10,CJ,S10;H6,H8,C10,SJ;H5,DQ,C8,SK;H4,DJ,C7,H3;D10,D7,C6,HQ;DA,D9,C5,H9"
1571996520,2,1,2,"CJ,C2,CK,CQ;S3,S2,S5,SJ;C9,C3,C7,C6;S4,S7,S6,SQ;D3,D5,D4,D2;D8,D7,D6,DK;H7,DA,H2,H3;D10,CA,D9,HK;DJ,C10,DQ,H9;S8,S10,S9,H8;SA,C4,HA,H6;SK,C5,HJ,H5;HQ,C8,H10,H4"
1571996520,2,13,2,"CJ,C2,C5,CQ;S3,S9,S5,S2;S4,SJ,SQ,S7;C10,C7,C3,C4;D6,D3,D2,D4;D9,D8,D5,SK;DJ,D10,D7,H9;S6,HJ,H4,S8;SA,CK,H3,C6;HA,CA,H2,C8;HQ,H5,DA,H7;S10,H10,DK,H8;HK,H6,DQ,C9"
1571996520,2,24,2,"CJ,C5,CA,C2;HQ,S4,S3,S2;H9,S6,S9,S5;C4,HJ,C3,C7;H7,S10,SK,S7;C6,H8,C10,SQ;C8,H5,CQ,SA;C9,H4,CK,HA;D4,D5,D2,DQ;DA,D8,D3,D6;D9,D10,DK,D7;H2,H3,H10,H6;DJ,SJ,HK,S8"
1571996520,2,26,2,"C2,CK,CJ,CA;S3,S2,S4,S5;S8,S7,SJ,S6;C6,C3,C5,HK;S10,HA,H8,S9;C9,C4,H7,HQ;CQ,C7,H5,HJ;D7,D4,D8,D2;DA,DK,D9,D3;SA,H6,H2,H9;SK,H3,DQ,H4;SQ,C10,DJ,D6;H10,C8,D10,D5"
1571996520,2,1,2,"CA,C9,CK,C2;S4,S8,S2,S3;S5,S9,SJ,SQ;C3,C5,CQ,C4;D3,D4,D6,D2;D7,D9,D10,D5;S6,S10,SA,H7;H8,H4,H3,H2;D8,DQ,HA,DK;DJ,SK,HK,DA;C6,C7,HQ,C10;C8,H10,HJ,CJ;S7,H9,H5,H6"
