1571996535,2,13,2,"C2,CA,CK,CJ;S2,S4,S8,S3;S5,S7,S10,S9;C6,C3,C4,C5;S6,SQ,SA,SJ;DJ,D6,D2,D3;C7,SK,H7,C8;HJ,D7,D4,D9;H9,DK,D5,D10;H5,H2,H3,H8;CQ,HK,D8,DA;C10,H4,H6,H10;C9,HQ,DQ,HA"
1571996535,2,2,2,"C2,CK,CJ,CQ;S5,S3,SJ,S2;CA,C4,C3,C5;S6,S4,H10,S8;HK,S7,H9,S9;HQ,C8,C6,C9;D5,SA,D3,D2;D6,H8,D4,SQ;D8,H7,D7,SK;D9,H4,DJ,HA;H6,C10,C7,HJ;DA,S10,DK,H5;D10,H2,DQ,H3"
1571996535,2,8,2,"CK,C2,CA,CQ;S2,S3,S4,S5;S6,S9,S10,S7;HK,SQ,SJ,S8;HQ,C5,C3,C4;H10,CJ,C6,C7;D4,D2,DQ,D8;D5,D3,D9,DK;H9,SK,HJ,SA;H8,HA,C9,C8;D7,D6,D10,H5;H6,H7,C10,H3;DA,DJ,H4,H2"
1571996535,2,0,2,"CQ,C9,CA,C2;S2,S3,S7,S5;SQ,S4,S10,HQ;C10,C3,C6,C5;CJ,C4,C7,C8;D2,D8,D3,D4;D9,D5,DK,D6;SK,S6,SJ,HJ;D10,D7,SA,DJ;DA,H9,HA,DQ;H3,H8,H7,H2;H6,S8,HK,H4;H5,S9,H10,CK"
1571996535,2,4,2,"CK,CA,C10,C2;S5,S6,S2,S4;HA,S8,S3,S9;H10,SJ,S7,S10;C9,C3,C4,C5;CJ,C7,SA,C6;D7,D3,D2,D5;DQ,D4,D6,D8;DK,D9,D10,SQ;DA,DJ,SK,HK;H2,HJ,H3,H4;H9,CQ,HQ,C8;H7,H6,H8,H5"
1571996535,2,19,2,"CA,C8,C2,CK;S6,S10,S2,S3;CQ,C5,C9,C3;S7,SK,S4,S5;SQ,C7,C10,C4;SA,HA,CJ,C6;D3,D2,D10,D4;D6,D5,DQ,D8;D9,D7,DA,DJ;S8,HK,S9,HQ;H4,H6,H3,H2;H9,DK,HJ,H10;SJ,H7,H8,H5"
1571996535,2,1,2,"CA,C2,CK,CJ;S5,S6,S2,SJ;C6,C5,HK,C3;S7,S9,S3,SA;C7,C9,HQ,C4;D2,D4,DA,D3;S8,SK,S4,HJ;SQ,H2,H4,H7;C10,HA,H8,C8;CQ,H9,DK,H10;D6,H6,D8,D5;D7,H5,D10,DJ;D9,H3,S10,DQ"
1571996535,2,2,2,"CK,C2,C9,C10;S5,HA,S3,S2;D2,D3,D6,D9;SQ,HK,S6,S4;D4,D8,DJ,H9;D5,DQ,DA,H7;SK,HJ,S8,S7;D7,DK,SA,H6;HQ,C8,C4,C3;H10,CJ,C5,C6;H5,CQ,H8,C7;H3,CA,H2,SJ;D10,H4,S10,S9"
1571996535,2,0,2,"CJ,C2,CQ,C10;S2,S4,S3,S6;S8,S5,SA,S9;C4,CK,C3,C6;S10,S7,HK,SK;C5,CA,C7,C8;D2,D3,D4,D9;H8,SQ,HQ,C9;D6,D5,D10,DJ;D7,DA,H10,DQ;DK,H5,H3,H2;D8,H7,H4,H6;SJ,HA,H9,HJ"
1571996535,2,0,2,"CA,CK,C2,CQ;S10,S2,S4,S6;SJ,S3,S5,SQ;D6,DQ,D3,D2;DJ,DK,D4,D5;SK,S8,S7,SA;C7,C4,HA,C3;DA,H8,D7,H10;C9,C6,H5,C5;H7,H3,H4,H2;HJ,C10,D10,H6;HQ,C8,D9,H9;HK,S9,D8,CJ"
1571996535,2,1,2,"CQ,C9,CA,C2;S8,S2,S3,S7;SJ,S6,S4,S10;C4,C3,C5,C8;C7,C6,C10,CK;D2,D3,D9,D5;HA,S9,S5,SQ;D7,D4,D10,D8;HQ,D6,DQ,DJ;H2,H7,H3,HJ;H5,DA,HK,DK;H4,SK,H8,SA;CJ,H10,H6,H9"
1571996535,2,13,2,"C2,CQ,CK,CA;S2,S3,SJ,S5;C5,C3,C4,CJ;S4,S8,SQ,S6;DK,D7,D3,D2;DA,D9,D5,D4;S7,S10,HK,S9;C6,C10,HQ,C8;HJ,H2,H7,H4;SK,H10,DQ,H9;SA,H6,DJ,H8;C7,H5,D8,C9;HA,H3,D6,D10"
1571996535,2,1,2,"CQ,CA,C2,CK;S2,S3,S10,S5;S6,S4,SJ,S9;C8,C6,C10,C3;D6,D9,D2,D4;S7,S8,SK,H8;D8,HA,D3,DA;SQ,C7,HK,C4;SA,C9,H10,C5;HJ,H2,H6,H4;D10,HQ,D5,H7;DQ,H9,D7,H5;DK,H3,DJ,CJ"
1571996535,2,0,2,"C7,CK,CA,C2;C4,C6,C3,CQ;S2,S4,H9,S3;S6,S7,H8,S5;SQ,SJ,D8,S8;D5,DQ,D2,D10;H10,SA,D7,S9;H7,C9,C5,C10;H2,HK,D6,S10;DA,HQ,D4,SK;DK,H4,D3,H3;DJ,H5,CJ,HJ;D9,H6,C8,HA"
1571996535,2,1,2,"CA,C2,CJ,C9;S4,S2,S3,S5;H9,S7,SK,S6;C6,C7,C3,C5;H2,S8,HK,S9;DA,SJ,H10,S10;CK,C10,C4,C8;D3,DQ,D2,SQ;DK,CQ,H3,SA;D10,H5,DJ,H4;D9,H6,D8,HJ;D6,H7,D7,HQ;D5,H8,D4,HA"
1571996535,2,19,2,"CK,C2,CQ,CJ;S4,S3,S7,S2;SK,S5,SJ,S6;D2,D8,D3,D7;HQ,S8,SQ,S10;D4,HJ,DJ,DK;H5,S9,HK,SA;H4,C5,C4,C3;DQ,C8,C9,C6;D5,H10,DA,HA;D10,H3,H6,H2;D9,CA,H7,H9;D6,C10,H8,C7"
1571996535,2,0,2,"C9,C2,CK,CQ;S5,S2,S3,S4;S6,S7,S9,SJ;C3,CA,C6,C4;S8,S10,HA,SK;C5,SA,C8,C7;D3,D5,D6,D2;D9,D8,DA,D4;H6,H2,H4,H9;SQ,H3,HQ,C10;HK,DK,HJ,CJ;H8,D10,H10,D7;H7,DQ,H5,DJ"
1571996535,2,22,2,"C10,C5,C2,CA;S5,S6,S4,S2;H10,S7,S9,S3;C4,C3,C6,CQ;H9,SQ,C8,C7;H8,HQ,CJ,C9;H7,HJ,CK,HA;D6,D7,D2,D3;D9,D10,D4,D8;H4,S8,SK,HK;DJ,H5,D5,DA;H3,SJ,SA,H2;DK,S10,DQ,H6"
1571996535,2,26,2,"C3,C9,CA,C2;S3,S5,S2,S8;SK,C5,CK,C4;HK,S6,S4,SQ;D3,D7,D2,D5;HQ,C6,SA,C7;D6,D10,D4,DK;H10,DJ,D8,DA;H9,HA,H2,C8;H8,H7,DQ,C10;H5,H6,D9,CJ;H4,S10,SJ,CQ;H3,S7,S9,HJ"
