1571999416,0,1,0,"CQ,CK,C2,CA;S2,S6,S9,S4;S3,S7,S10,S5;C10,C3,C5,C4;SJ,SA,HJ,S8;CJ,C9,C7,C6;D9,D2,D3,D7;DQ,HK,D4,D10;SQ,H10,H8,SK;HA,H9,DJ,C8;HQ,H7,D5,DK;H6,H3,D6,DA;H4,H2,D8,H5"
1571999416,0,0,0,"CJ,C10,C2,CA;S5,S9,S2,S3;S8,S10,S6,S4;HA,C6,C3,C4;HJ,C7,C9,C5;SJ,SQ,S7,SA;H10,SK,CQ,C8;H5,HQ,CK,HK;D3,D4,D2,D9;DK,D8,D6,D5;D10,DA,DQ,D7;H2,H3,H4,H7;DJ,H8,H6,H9"
1571999416,0,0,0,"CJ,CA,C2,CK;S3,S7,S2,S6;S5,SJ,S4,S9;C3,C8,C9,C4;S8,HA,S10,SQ;D4,D10,D3,D2;C5,CQ,SA,C6;D5,DJ,D8,HQ;D6,DQ,SK,H10;DA,H6,H2,H5;DK,H8,H3,H7;D9,H9,H4,C10;D7,HK,HJ,C7"
1571999416,0,0,0,"C2,CQ,CJ,CA;S3,S8,S2,S6;S4,S9,S7,SJ;C3,C4,C6,C5;CK,C7,C9,C8;S5,S10,SA,HK;D2,DJ,D7,D3;SQ,SK,HA,H10;H4,H5,H3,H2;D9,H7,H6,DK;D8,H8,H9,D10;D4,HQ,DQ,D6;D5,HJ,DA,C10"
1571999416,0,0,0,"CK,CJ,CQ,C2;S3,S6,S7,S2;S4,S10,SJ,S5;C6,C3,C5,C4;S8,SK,SQ,H10;SA,C10,C9,C7;D3,D2,D7,DQ;D4,D6,D8,DK;HK,HA,H7,C8;HJ,HQ,H6,CA;D10,H2,DA,H3;D5,H4,DJ,H5;S9,H9,D9,H8"
1571999416,0,5,0,"CA,C2,C5,CK;S6,S2,S3,H8;S9,S4,S10,H6;DK,D3,D2,D4;SJ,S5,SQ,DA;SA,HK,D6,D5;SK,CQ,DQ,D7;H2,C9,H4,DJ;H3,C7,H7,D10;H5,C4,H9,D9;HA,C3,H10,D8;C10,S8,HQ,C6;CJ,S7,HJ,C8"
1571999416,0,0,0,"C2,CQ,CJ,CA;S3,S6,S8,S2;S7,SQ,S10,S4;C8,C6,C3,C4;CK,C9,C5,SK;D2,D3,D5,HK;SA,C10,C7,HQ;D4,D7,D6,H9;D10,D8,DQ,H8;H4,H3,H2,H7;H6,DK,HA,S5;H5,DJ,HJ,S9;DA,D9,H10,SJ"
1571999416,0,4,0,"C10,CQ,C2,CA;S3,S6,S5,S2;S4,S10,S7,H10;C5,CJ,C3,C4;D5,D4,DK,D2;S9,SK,S8,H9;DJ,D6,D8,D3;SJ,HA,SQ,H5;C8,HQ,C6,C7;DQ,D7,D9,DA;HK,H8,SA,C9;H6,H7,HJ,CK;H4,H2,D10,H3"
1571999416,0,24,0,"CQ,C2,CJ,CK;S4,S2,SK,S5;C4,C3,C9,C6;C7,C5,C10,C8;D3,D6,D7,D2;D4,HJ,D8,D5;DA,H4,D10,D9;S7,S3,HQ,SA;HK,H2,H9,H5;S8,S6,H10,HA;S10,S9,DK,H8;SJ,H3,DQ,H7;SQ,CA,DJ,H6"
1571999416,0,17,0,"CK,C7,C2,CJ;S3,S4,S2,S10;C10,C6,C3,C4;S8,S5,S6,HA;SJ,S7,S9,HJ;C8,SQ,C5,H10;C9,SK,CQ,H8;D5,D3,D2,D4;D6,D7,SA,D8;DQ,D9,H9,DJ;H3,H2,H5,H7;HQ,D10,H6,DK;H4,HK,CA,DA"
1571999416,0,14,0,"C9,C6,C2,CA;S2,S3,S6,S5;S4,HJ,S9,S8;D7,D2,D5,SQ;D8,D3,D6,SK;DK,D4,D10,HK;DA,D9,DJ,CK;S7,H10,SA,SJ;H4,H7,H2,CQ;H9,DQ,HA,CJ;H6,C3,HQ,C7;H5,C4,H8,C8;S10,C5,H3,C10"
1571999416,0,3,0,"C2,CK,CJ,CA;S3,S2,S5,S7;S4,S9,S6,S8;SQ,SJ,SA,S10;D2,D4,D3,DJ;C4,C3,C5,CQ;D5,D10,D6,D7;DQ,DK,D8,D9;C9,C7,C6,SK;DA,HQ,HJ,HA;H4,H2,H3,H6;H5,H8,H7,H10;H9,C10,C8,HK"
1571999416,0,15,0,"CK,C2,CA,C9;S8,S2,S3,S5;SJ,S4,S10,S6;C8,C3,C5,SQ;C10,C4,C6,HA;D4,SA,D2,D3;D8,SK,D7,D5;DQ,H10,D9,D6;H2,H4,H5,H7;HK,CQ,D10,DK;H9,CJ,DJ,DA;H6,S9,HQ,S7;H3,C7,H8,HJ"
1571999416,0,8,0,"C8,C2,CA,C9;S2,S3,S5,S6;C5,C10,C3,C4;S8,S4,SQ,H7;SA,CQ,C7,C6;SK,CK,CJ,H4;D9,D2,HA,D4;D10,D3,HJ,D5;DJ,DQ,H10,D6;HK,DA,H9,D7;SJ,S7,H8,H3;H5,S10,H2,DK;HQ,S9,H6,D8"
1571999416,0,0,0,"C10,CQ,CA,C2;S2,S10,S4,S3;SQ,C5,C3,C4;D2,D4,DA,D5;D3,D8,D10,SK;S5,HQ,S7,S6;HK,HJ,S9,S8;H6,H7,SA,SJ;DK,H5,H2,H4;D6,D9,HA,H9;DQ,C6,H10,C8;DJ,C7,H8,C9;D7,CJ,H3,CK"
1571999416,0,22,0,"CA,CQ,C2,CK;S4,S2,S3,S8;S7,S6,S5,S9;HA,HK,S10,SJ;C3,C4,C5,C6;D2,D3,D6,D5;C8,C10,C7,SA;D10,D4,SQ,D8;DJ,D7,SK,DQ;H10,D9,HQ,DA;H7,H5,H4,H2;C9,H6,H9,HJ;CJ,DK,H8,H3"
1571999416,0,1,0,"CK,C6,C2,CA;S2,S4,S5,S3;SJ,S6,S8,S9;CJ,SK,C3,C5;CQ,HQ,C4,C7;D2,D5,D6,D7;SQ,H8,HA,C8;D3,D10,D9,DQ;D4,DJ,DK,DA;HJ,S7,S10,SA;H7,H6,HK,C9;H2,H5,H9,C10;D8,H4,H3,H10"
