1571996507,0,19,2,"C2,CK,CA,C10;S2,S3,S4,SK;C7,C3,CQ,C4;S7,S6,S5,SA;CJ,C8,HA,C5;SJ,S9,S8,H3;D8,D3,D5,D2;DA,D4,D6,D7;SQ,HJ,S10,DQ;H4,H2,H6,DJ;HK,D10,DK,D9;H7,H5,H8,C9;HQ,H10,H9,C6"
1571996507,0,0,2,"C2,CA,CK,CQ;S2,S3,S4,S6;HQ,S5,S8,S7;H6,SQ,S9,S10;C4,C6,C3,C8;D5,D8,D2,D4;C10,CJ,C5,HA;D7,D10,D3,D6;D9,DQ,SA,DA;H3,H8,H9,H2;H5,SK,SJ,H10;DK,HJ,C9,H4;DJ,HK,C7,H7"
1571996507,0,1,2,"C10,C2,CA,CJ;S8,S6,S2,S3;S9,S10,S4,S7;C5,C7,C3,C9;D5,D7,D4,D2;SK,CQ,C4,SQ;DQ,D8,D6,D3;DK,DJ,H3,D9;H5,H2,CK,H6;HQ,DA,C8,D10;H10,SA,S5,HA;H7,H4,C6,H9;H8,HJ,SJ,HK"
1571996507,0,2,2,"C4,C2,CA,CK;S3,S4,S2,S5;SA,C6,C8,C3;S6,S9,S7,HQ;HK,C7,CJ,C5;SJ,H10,S8,H8;D3,DA,D4,D2;H9,C9,CQ,C10;H7,H5,S10,H3;H6,DK,SK,DJ;H4,DQ,SQ,D10;H2,D9,HJ,D8;D5,D6,HA,D7"
1571996507,0,0,2,"CA,CJ,C7,C2;S3,S4,S2,S8;S5,SK,S6,S9;C3,C5,SQ,C9;C4,HK,HA,CQ;C6,HQ,HJ,CK;D6,D7,D2,D4;H10,DJ,D3,D8;H3,DQ,D5,D9;C10,DA,D10,DK;C8,H4,H5,H2;S10,H7,H6,SA;S7,H8,H9,SJ"
1571996507,0,22,2,"CQ,CK,C2,C10;S9,S3,S2,S8;S10,S7,S4,SK;C5,C3,CA,C4;SJ,SA,S5,HA;C6,C9,HK,C7;C8,CJ,H7,HQ;D5,D2,D9,D3;SQ,HJ,S6,H9;DJ,D4,D6,H8;DK,D7,D8,H6;DA,D10,H4,H5;H10,DQ,H2,H3"
1571996507,0,21,2,"CQ,C7,CJ,C2;S4,S6,S2,S9;S5,HQ,S3,SJ;C4,C5,C3,C8;C6,H10,C9,CK;C10,H4,SA,CA;D2,D3,D10,D6;S8,H2,S7,SK;H9,DA,H6,H3;D4,D5,DK,HJ;SQ,DQ,S10,H8;D8,D7,HA,H7;DJ,D9,HK,H5"
1571996507,0,0,2,"C8,C2,CA,C6;S2,S8,S4,S3;S6,S9,S7,S5;C3,C4,CQ,SK;S10,SQ,SJ,HA;D5,D3,D4,D2;D8,SA,D10,D6;D9,HK,DK,D7;H5,H7,H2,HJ;H8,CK,HQ,DJ;H6,CJ,H9,DQ;C7,C10,H4,DA;C5,C9,H3,H10"
1571996507,0,0,2,"C8,C6,CA,C2;S5,S4,S2,S3;S6,S8,SJ,HK;C3,SK,C10,C4;SQ,HQ,CJ,C5;SA,HJ,CQ,C7;HA,H7,CK,C9;D2,D4,D3,DJ;D9,D7,D10,D5;H4,D8,DA,D6;H3,DK,H2,H5;S10,DQ,H6,H8;S7,S9,H9,H10"
1571996507,0,21,2,"C2,CQ,C9,CK;S2,SK,S6,S3;C3,C5,HK,C8;S5,SA,S10,S4;C4,C6,H7,HQ;C7,C10,DA,H10;CA,CJ,DK,H6;S7,HJ,SJ,S8;D5,D4,D2,D9;SQ,H9,D10,S9;H5,DQ,D7,H2;H8,DJ,D6,H3;HA,D8,D3,H4"
