1571996527,0,2,0,"CA,C2,CJ,CQ;S8,S2,S5,S3;SJ,S6,S9,S4;C3,C4,C5,SQ;D8,D3,D5,D2;D9,D6,D10,D4;C10,C9,C6,SK;DK,D7,HA,DQ;CK,SA,C7,HQ;H2,H9,H6,H3;HK,DJ,H10,DA;H7,S10,H8,H4;HJ,S7,C8,H5"
1571996527,0,10,0,"CK,C4,C8,C2;S3,S2,S6,SQ;C6,HA,C3,C9;C7,HQ,C5,CA;D2,D5,D3,D4;D8,D9,D6,D7;HK,S4,S8,SA;DK,HJ,DJ,D10;C10,H9,SK,H10;CJ,H2,DA,H7;CQ,SJ,DQ,H6;H4,S7,S10,H3;H8,S5,S9,H5"
1571996527,0,0,0,"CA,C2,C10,C6;S4,S5,S2,S6;S7,S10,S3,S9;C3,C7,C9,C4;HJ,H10,S8,SQ;D2,D7,D3,D4;D6,D9,D5,SA;H4,CJ,C8,C5;H2,CQ,SK,HA;DA,CK,HQ,HK;DK,H3,D10,H5;DQ,H6,D8,H8;DJ,H7,SJ,H9"
1571996527,0,24,0,"C2,CK,CQ,SA;S3,S7,SJ,S2;C3,C7,C5,SK;C4,C8,C6,H8;C9,CJ,C10,H7;DA,D3,D7,D2;S6,HA,HQ,S4;S8,HK,H5,S5;S10,H10,H4,S9;CA,H3,DK,H6;SQ,DQ,DJ,H2;H9,D9,D10,D6;HJ,D4,D8,D5"
1571996527,0,3,0,"CQ,C2,CA,C8;S10,S2,S5,S3;C3,C7,C5,SQ;C4,CK,C6,HQ;D2,D6,D5,D3;D7,DQ,H7,D4;D10,DK,H6,D8;SK,S4,S6,S7;DJ,SA,H2,D9;CJ,HK,C9,H9;H4,H3,C10,H8;HA,H10,SJ,DA;HJ,H5,S9,S8"
1571996527,0,16,0,"CA,C2,SK,CK;S5,S8,S2,S4;C5,C9,H10,C3;C6,CQ,H9,C4;D2,D5,D3,D4;D10,D6,DA,D7;SJ,SA,S3,S6;DQ,D8,DK,D9;SQ,HK,S7,S10;CJ,HQ,H8,C7;H3,H2,H6,HJ;HA,H5,H7,C8;H4,DJ,S9,C10"
1571996527,0,2,0,"C2,CK,C9,C3;S5,S3,S2,S4;S7,S6,SQ,S9;C8,C5,C4,H8;DQ,D2,D7,D3;DA,D4,D8,D5;C10,C6,C7,H7;CJ,CQ,SA,H4;HQ,DJ,D9,D6;H9,DK,SK,D10;H5,S8,HA,S10;H3,HJ,HK,SJ;CA,H10,H6,H2"
1571996527,0,0,0,"CA,C9,CQ,C2;S5,S2,S3,S7;S6,S9,S4,SJ;CJ,C4,C5,C3;S10,HQ,S8,SK;C7,C8,HJ,C6;D4,D2,DA,D6;D5,D3,D7,D8;SQ,H10,H9,C10;HA,H7,H4,SA;H6,H5,DJ,CK;H2,H3,D10,H8;DQ,DK,D9,HK"
1571996527,0,4,0,"C2,SA,CQ,CA;S2,S4,S10,S3;S5,S7,SJ,S6;C9,HK,C6,C3;S8,S9,SQ,H9;D7,D2,DQ,D4;D8,D3,DA,D5;CJ,HJ,C7,C4;D10,D6,HQ,DK;SK,H10,C8,C5;HA,H6,C10,CK;H3,H5,H2,H4;DJ,D9,H8,H7"
1571996527,0,17,0,"CQ,C8,C2,C9;S3,S2,S5,S8;C6,SA,C5,C3;S6,S4,HQ,HA;S7,S9,H6,HJ;SQ,S10,H4,H9;D2,D4,D6,D3;D5,DJ,DK,D8;H10,SK,C10,C4;H7,HK,CJ,C7;DA,H8,CK,H5;D10,H3,CA,DQ;D7,SJ,H2,D9"
1571996527,0,1,0,"C8,C2,CA,CK;HQ,S2,S5,S8;C3,C4,C10,C6;H10,S3,S6,SQ;D2,DK,D3,D7;D4,DA,D6,D8;H8,S4,HJ,SA;C5,SK,CJ,C9;D5,H3,D9,HA;DJ,SJ,D10,HK;C7,S10,H9,CQ;H4,S9,H2,H6;H5,S7,DQ,H7"
1571996527,0,0,0,"C2,CK,CA,C8;S3,S8,S9,S2;S4,SQ,S10,S6;D2,D9,DQ,D5;D3,DK,DJ,D7;S5,SA,SK,S7;C3,C4,HK,C7;D4,HQ,H10,D8;D6,HJ,H9,D10;HA,CQ,H8,DA;H3,CJ,H6,SJ;C10,C6,H4,H2;C9,C5,H5,H7"
1571996527,0,3,0,"C6,C2,CJ,CQ;S2,S5,S3,S4;S10,SJ,S6,S7;C3,C10,C5,C8;C4,CK,C7,HA;SQ,CA,C9,H8;D4,D3,D2,DJ;D5,DA,D6,DQ;SA,SK,HK,S8;H2,H4,D10,H3;H6,H9,D9,H5;H7,H10,D8,DK;HQ,HJ,D7,S9"
1571996527,0,13,0,"C2,C10,CA,C9;S3,S5,S4,S2;SQ,S7,S8,S6;D5,DK,D8,D2;C7,C3,C6,C4;C8,C5,CJ,HA;HJ,S9,SJ,HK;H10,S10,SK,DA;H8,H9,SA,DQ;CQ,H5,CK,D7;H2,DJ,H4,D6;H3,D10,H7,D4;H6,D9,HQ,D3"
1571996527,0,14,0,"CA,C2,CQ,CK;S5,S3,S2,S6;SJ,S8,S4,S10;CJ,C10,C4,C3;DA,D2,D3,D8;SQ,S9,S7,H6;H2,H8,H3,D10;HA,DJ,D4,D9;HQ,DQ,D5,C9;H10,DK,D6,C8;H9,SA,SK,C7;H4,HJ,H5,C6;H7,HK,D7,C5"
1571996527,0,2,0,"C9,CK,CQ,C2;C5,C3,C10,C6;S3,SA,S2,S4;SQ,C4,HA,CJ;H9,C7,HK,CA;D3,D7,D2,D10;D4,DK,D6,DQ;H6,C8,HQ,SK;DJ,H3,H2,H5;S6,H10,HJ,S5;D5,H8,D8,SJ;S10,H7,D9,S9;S8,H4,DA,S7"
1571996527,0,0,0,"C2,C7,CA,CK;S6,S4,S2,SJ;C3,C4,C9,CJ;D3,D2,D4,D6;DA,D7,D5,D8;S7,S5,S3,SQ;DJ,H10,D9,DQ;SA,H9,D10,DK;HA,S10,S8,SK;H4,H5,H6,H2;HQ,H7,S9,HK;C8,C5,C10,HJ;CQ,C6,H8,H3"
1571996527,0,9,0,"C6,C2,CA,C9;S4,S7,S8,S2;S6,S10,S9,S3;C3,C8,C7,SA;C4,CK,C10,HK;DQ,D2,D5,D3;SJ,SK,SQ,S5;DA,D4,D8,D6;C5,H10,CJ,HJ;HA,D7,D10,DK;HQ,H3,H4,H2;H7,DJ,H5,H6;H9,D9,CQ,H8"
1571996527,0,1,0,"C2,C10,CA,CJ;S3,S6,S5,S2;S4,S8,S7,S10;CK,C4,C6,C3;SJ,HA,S9,SK;SQ,C8,C7,C5;D7,D2,D4,D3;D9,D5,D8,SA;DK,D6,D10,HK;H2,H3,DA,H4;HJ,HQ,CQ,C9;H10,H7,DJ,H9;H8,H6,DQ,H5"
1571996527,0,6,0,"C2,CA,CK,C4;S2,S4,S6,S3;S8,HQ,S9,S5;C5,C8,C7,C3;C6,CJ,C9,SQ;C10,CQ,SK,HA;D6,D3,D2,DK;SA,HJ,HK,S7;D7,D4,D5,H8;DJ,D9,D8,H7;DQ,H9,D10,H5;H3,H2,H10,SJ;H6,H4,DA,S10"
1571996527,0,0,0,"C2,C5,CJ,CA;S4,S3,S2,S6;S7,S8,S5,S10;HA,S9,SQ,SJ;D9,D3,D4,D2;DJ,D5,D7,DA;HK,SK,HQ,SA;C4,H6,C3,C7;C8,H4,C6,C9;CQ,DK,C10,CK;H3,D10,H2,H5;H8,D8,H9,H7;HJ,D6,DQ,H10"
1571996527,0,0,0,"CQ,C10,C2,D10;S4,S3,S2,S9;S5,S6,S8,S10;S7,SA,SQ,SJ;C3,C5,C4,HA;C6,C7,C8,HQ;D8,D4,D2,D5;C9,H10,CK,HJ;DJ,D9,D3,D6;CJ,H9,CA,H7;HK,H4,SK,H6;DA,H3,H2,H5;DQ,DK,H8,D7"
1571996527,0,0,0,"CJ,C2,CA,CK;S7,S10,S3,S2;C7,C3,C4,CQ;S8,SQ,S4,S6;D2,DA,D3,D6;HK,SK,S5,S9;H10,C5,C9,H8;D5,HA,D4,D7;D8,H5,DK,D9;H9,H4,SA,SJ;H3,C10,H2,H7;D10,C8,HQ,DJ;H6,C6,HJ,DQ"
1571996527,0,3,0,"CA,C2,C10,CK;S4,S3,S5,S2;S7,HA,S8,S6;SK,H8,SJ,S9;C5,C3,C9,C4;DJ,D3,D2,D7;C8,CJ,HQ,C6;HK,CQ,HJ,C7;H10,D4,D5,D10;H9,DA,H6,S10;H7,DK,H2,SA;H5,DQ,D9,SQ;H4,D6,D8,H3"
1571996527,0,0,0,"CK,C10,C2,CA;S3,S2,S4,S7;SA,S6,S5,S9;C6,C3,C8,C4;HJ,S8,SJ,HK;H10,SQ,CJ,C5;D3,D9,D2,D4;D5,D10,D7,HQ;D6,DJ,D8,H6;H7,S10,H9,H3;H2,SK,H8,CQ;DA,H4,H5,C9;DQ,HA,DK,C7"
1571996527,0,4,0,"CK,CA,C2,CQ;S4,S10,S2,S7;SK,SJ,S3,S8;C4,C3,C6,C9;D2,D9,D5,D7;D3,DJ,D6,D8;D4,DA,SQ,DQ;HQ,SA,S5,HA;H8,H3,H2,H5;D10,HK,CJ,DK;C10,H4,C8,H6;C7,H9,S9,H7;C5,HJ,S6,H10"
